event_id,datetime_utc,datetime_local,date,date_uncertain,time_local,time_known,time_precision,time_label,time_category,time_note,region,city,place,refs,event_zh,context_zh,source_chapter
E0001,1893-01-01,1893-01-01,1893-01-01,True,,False,fuzzy,,,僅提及年份,其他,桂林市,中國廣西桂林,49,白崇禧（1893∼1966），字健生，出生於中國廣西桂林的一個回民家庭,白崇禧（1893∼1966），字健生，出生於中國廣西桂林的一個回民家庭，曾在1911年辛亥革命發生以後加入廣西學生軍敢死隊，1916年12月畢業於保定軍官學校第三期。1920年代白崇禧先助國民政府統一廣西，繼於蔣介石北伐行動中擔任參謀長，從此在國民黨的政治舞上有一席地。白崇禧雖然在北伐、中日戰爭過程中助蔣，卻又「三次逼蔣下野」、「蔣、白之間的悲歡離合，紀錄了國民黨政權從發展、分裂到衰敗的歷程。」[49],ch03_0001_1_第二節_國防部長白崇禧赴臺宣慰
E0002,1911-01-01,1911-01-01,1911-01-01,True,,False,fuzzy,,,辛亥革命發生以後,其他,廣西省,廣西,49,曾在1911年辛亥革命發生以後加入廣西學生軍敢死隊,白崇禧（1893∼1966），字健生，出生於中國廣西桂林的一個回民家庭，曾在1911年辛亥革命發生以後加入廣西學生軍敢死隊，1916年12月畢業於保定軍官學校第三期。1920年代白崇禧先助國民政府統一廣西，繼於蔣介石北伐行動中擔任參謀長，從此在國民黨的政治舞上有一席地。白崇禧雖然在北伐、中日戰爭過程中助蔣，卻又「三次逼蔣下野」、「蔣、白之間的悲歡離合，紀錄了國民黨政權從發展、分裂到衰敗的歷程。」[49],ch03_0001_1_第二節_國防部長白崇禧赴臺宣慰
E0003,1916-12-01,1916-12-01,1916-12-01,True,,False,fuzzy,,,確切日期不詳,其他,保定市,保定軍官學校,49,1916年12月畢業於保定軍官學校第三期。,白崇禧（1893∼1966），字健生，出生於中國廣西桂林的一個回民家庭，曾在1911年辛亥革命發生以後加入廣西學生軍敢死隊，1916年12月畢業於保定軍官學校第三期。1920年代白崇禧先助國民政府統一廣西，繼於蔣介石北伐行動中擔任參謀長，從此在國民黨的政治舞上有一席地。白崇禧雖然在北伐、中日戰爭過程中助蔣，卻又「三次逼蔣下野」、「蔣、白之間的悲歡離合，紀錄了國民黨政權從發展、分裂到衰敗的歷程。」[49],ch03_0001_1_第二節_國防部長白崇禧赴臺宣慰
E0004,1920-01-01,1920-01-01,1920-01-01,True,,False,fuzzy,,,指1920年代,其他,廣西省,廣西,49,1920年代白崇禧先助國民政府統一廣西,白崇禧（1893∼1966），字健生，出生於中國廣西桂林的一個回民家庭，曾在1911年辛亥革命發生以後加入廣西學生軍敢死隊，1916年12月畢業於保定軍官學校第三期。1920年代白崇禧先助國民政府統一廣西，繼於蔣介石北伐行動中擔任參謀長，從此在國民黨的政治舞上有一席地。白崇禧雖然在北伐、中日戰爭過程中助蔣，卻又「三次逼蔣下野」、「蔣、白之間的悲歡離合，紀錄了國民黨政權從發展、分裂到衰敗的歷程。」[49],ch03_0001_1_第二節_國防部長白崇禧赴臺宣慰
E0005,1926-07-09,1926-07-09,1926-07-09,True,,False,fuzzy,,,北伐行動期間，日期以北伐開始日概括,其他,,,49,繼於蔣介石北伐行動中擔任參謀長，從此在國民黨的政治舞上有一席地。,白崇禧（1893∼1966），字健生，出生於中國廣西桂林的一個回民家庭，曾在1911年辛亥革命發生以後加入廣西學生軍敢死隊，1916年12月畢業於保定軍官學校第三期。1920年代白崇禧先助國民政府統一廣西，繼於蔣介石北伐行動中擔任參謀長，從此在國民黨的政治舞上有一席地。白崇禧雖然在北伐、中日戰爭過程中助蔣，卻又「三次逼蔣下野」、「蔣、白之間的悲歡離合，紀錄了國民黨政權從發展、分裂到衰敗的歷程。」[49],ch03_0001_1_第二節_國防部長白崇禧赴臺宣慰
E0006,1933-01-01,1933-01-01,1933-01-01,True,,False,fuzzy,1933年,不詳,張文環畢業與發表處女作之年份,其他,,日本東洋大學,164.0,例如作家張文環於1933年自日本東洋大學文學部畢業，同年發表處女作《落雷》。此後每年都有中短篇小說、散文或劇本發表於島內各種文藝雜誌或報章。,然而彼此之間的誤解與對立所引發的二二八事件，卻不因事件的結束而平復，反而讓族群之間的隔閡更加深化與持續，影響臺灣社會文化的正常發展。尤其是事件後，臺灣社會精英遭到當局迫害與打擊而日漸凋零，不但削弱政治影響的力量，也造成臺灣文化傳承的斷層。再加上中央政府撤退來臺，為營造政權的正統性，乃強力灌輸中國文化，使得整個社會充斥著大中國的影子，臺灣本土文化遭到漠視而被邊陲化。[161]例如當局強制性地推行國語，藉此壓抑本土語言並貶抑其價值，使得「臺灣的小孩在學校不准使用臺語交談，如果稍有疏忽，無意講了兩句，便要受到處罰」[162]，影響日後有些臺北市臺籍的學生，尤其是中學女生，不願意講臺語，特別是在公共場合，她們認為講臺語「沒有氣質」、「低水準一點」。[163]很多日治時期臺灣本土作家或創作者在國民黨來臺後即封筆或消聲匿跡了，例如作家張文環於1933年自日本東洋大學文學部畢業，同年發表處女作《落雷》。此後每年都有中短篇小說、散文或劇本發表於島內各種文藝雜誌或報章。但自二二八事件後至1957年，臺灣正處於所謂「白色恐怖時代」，他不但未發表任何作品，也誓死不學習中文與北京語。[164]取而代之的是，一批從中國而來的人物與作品，例如徐速的《星星月亮太陽》、王藍的《藍與黑》等描述中國抗戰時期的小說。此外，學校教育盡是中國悠久歷史與廣大地理的教學，卻少有臺灣歷史與地理的認識，因而學生只知中國對日八年抗戰，卻不曉得什麼是「二二八事件」；只知道中國東北長白山，卻無法說出臺灣玉山的地理位置。凡此種種，皆肇因於國民黨統治心態的偏差與狹隘，以致當局無法廓然大公地認同臺灣文化，反而刻意拉抬中國正統意識，壓抑臺灣文化。,ch02_0002_1.4_四加深族群隔閡不利臺灣文化發展
E0007,1945-08-01,1945-08-01,1945-08-01,True,,False,,,,,其他,,,,中日戰爭於1945年8月結束,中日戰爭於1945年8月結束，儘管戰爭期間國民黨與共產黨摩擦糾紛不斷，但是在野民主黨派（或稱第三勢力）一再鼓吹國共兩黨應該「從事政治解決而不用兵」，以及美國介入調停的影響，而有1946年1月的「政治協商會議」，針對政府組織、施政綱領、國民大會、憲法草案、軍事問題達成一定的共識；不久卻又因為國民政府委員名額分配起了爭議，以及國民黨要求中共軍隊先「國家化」、中共則要求國民黨政府先「民主化」（開放政權）而僵持、而破裂。[89]1946年5月5日國民政府自重慶遷回南京的時候，東北的國共軍事衝突已經如火如荼，同年7月，南京政府或因軍事上暫居優勢，乃決定於11月12日召開國民大會，準備實施憲政，以抵制中共所訴求之「聯合政府」；國民大會終於在11月15日召開，出席的除國民黨代表尚有青年黨、民主社會黨代表，中共及民主同盟則拒不參加，大會仍然在12月25日通過中華民國憲法，並訂於翌（1947）年1月1日公布、12月25日施行。,ch03_0002_1.1_一1947年前後的南京政府與蔣介石
E0008,1945-08-15,1945-08-15,1945-08-15,True,,False,fuzzy,在日本戰敗投降後,不詳,指1945年8月日本投降至10月接收期間,其他,,,160.0,在日本戰敗投降後，臺灣人重回到「祖國」的懷抱，半世紀以來的辛酸心情驅使他們歡欣鼓舞，從張燈結綵、列隊歡迎祖國軍隊的熱鬧場面，到人人爭相學習北京話、參加各種政治團體等學習活動，無不說明當時臺灣人滿心歡喜迎接祖國人士的到來。,二二八事件的爆發，除陳儀政府的貪污腐敗所引起的民怨有關外，族群之間的衝突也有關聯。然而往前來看，在日本戰敗投降後，臺灣人重回到「祖國」的懷抱，半世紀以來的辛酸心情驅使他們歡欣鼓舞，從張燈結綵、列隊歡迎祖國軍隊的熱鬧場面，到人人爭相學習北京話、參加各種政治團體等學習活動，無不說明當時臺灣人滿心歡喜迎接祖國人士的到來。不過，因彼此生活習慣、文化思想的不同，以及部份來臺軍警的惡劣行為，讓臺灣人對「祖國」人士的幻想與好感破滅。誠如事件受難者、臺灣大學教授林茂生所創辦之《民報》在社論〈記取去年今日〉一文所指出：「鳥兔匆匆，倏忽已經過一週年了，回憶一年前此日的情景，猶歷歷存在我們的心裡。可是我們拿一年前此日的社會狀態和臺胞的心理作用，與今日的實況互相作〔比〕較，大有今昔之感。現在百物騰貴，民生困苦，盜賊增加，治安未上軌道。貪污日盛，政治尚缺修明，人民不滿發而為之怨言，期待失望，興奮與熱情俱歸冰冷，與去年今日恰成反比例。」[160],ch02_0002_1.4_四加深族群隔閡不利臺灣文化發展
E0009,1945-09-20,1945-09-20,1945-09-20,False,,False,fuzzy,,,,其他,南京市,國民政府,133.0,戰後臺灣的政治體制，是根據1945年9月20日國民政府公佈的〈臺灣省行政長官公署組織大綱〉，所設計的軍政一元化、委任立法與行政專制。,戰後臺灣的政治體制，是根據1945年9月20日國民政府公佈的〈臺灣省行政長官公署組織大綱〉，所設計的軍政一元化、委任立法與行政專制，在當時曾被連震東比擬為日治時代「六三法」下的臺灣總督府，而且所任命的高級主管「清一色皆外省籍、且絕大多數係陳長官浙江及福建班底」[133]，因此統治一年多就發生二二八這種全島性的民變，究責的對象自然會指向行政長官陳儀。1947年3月6日，以團結全省人民、改革政治及處理二二八事件為宗旨的「二二八事件處理委員會」召開會議，由委員王添灯動議為使中外人士明瞭真相，特擬就二二八事件大綱內容、闡明事件之前因後果，並以國語、客語、閩語、英語、日語向中外宣佈，這份文件的內容提到：「這次的事件完全是全省人民對於一年餘來之腐敗政治的不滿同時爆發的結果。」「事件根本由腐敗政治之結果而來。已非所因專賣局吏之不法行為所致，亦非由於省界觀念而發生的事件。故對此次事件，整個臺灣政府應負全部責任。」[134]此外，有旅滬臺灣人團體聯合呼籲，直接點名陳儀是慘案禍首，「應請明令撤職嚴辦」，甚至說出「非達驅逐陳儀完成自治之目的，暫不休止。」[135],ch03_0002_1.4_四蔣介石袒護陳儀臺省軍政首長事後無一受懲
E0010,1946-01-01,1946-01-01,1946-01-01,True,,False,fuzzy,,,中日戰爭結束的第二年,其他,,,50,1946年即中日戰爭結束的第二年，白崇禧得到美國和何應欽的支持，擔任國防部長，但因參謀總長陳誠「是蔣的親信、非常跋扈」而總攬一切，白崇禧成為有職無權的空頭部長。[50],1946年即中日戰爭結束的第二年，白崇禧得到美國和何應欽的支持，擔任國防部長，但因參謀總長陳誠「是蔣的親信、非常跋扈」而總攬一切，白崇禧成為有職無權的空頭部長。[50]1947年臺灣發生二二八事件，白崇禧奉蔣之命擔任赴臺「宣慰」的中央大員，大約半個月的時間相當程度介入二二八事件的善後處理，有人說白崇禧於3月17日飛抵臺灣以後，宣佈中央處理事變的四項基本原則，「危機卒告解除」[51]，其實是過度簡化、甚至偏離事實的講法，吾人透過當年電報函件等檔案材料，可以還原白崇禧在二二八事件善後處理中的角色，並給予適當的評價。,ch03_0001_1_第二節_國防部長白崇禧赴臺宣慰
