event_id,datetime_utc,datetime_local,date,time_local,time_known,time_precision,time_label,time_category,time_note,region,city,place,refs,event_zh,source_chapter,date_uncertain,context_zh
E0001,1946-12-31T04:00:00Z,1946-12-31T12:00:00+08:00,1946-12-31,12:00,False,fuzzy,民國三十五年底,不詳,事件前背景,南部,屏東縣,東港,501,民國三十五年底又發生了一件聳動東港的大事，使得東港民眾對國軍惡感加深。,ch02_03_1.4_1東港,,
E0002,1947-02-26T16:00:00Z,1947-02-27T00:00:00+08:00,1947-02-27,00:00,False,fuzzy,,,,其他,台北市,,,台灣省專賣局專員與警察大隊警員在台北市因查緝私煙，打傷與擊斃民眾各一人，自此引發一連串的抗官與排外（省）事件，並迅速蔓延全省。,ch02_01_0_Intro,,
E0003,1947-02-26T16:00:00Z,1947-02-27T00:00:00+08:00,1947-02-27,00:00,False,fuzzy,二月二十七,,,東部,台北市,台北,,二月二十七日在台北等地發生的衝突事件,ch02_04_1_第四節_東部地區,,
E0004,1947-02-27T03:00:00Z,1947-02-27T11:00:00+08:00,1947-02-27,11:00,True,fuzzy,上午十一時左右,上午,約11時,北部,新北市,淡水港,2,民國三十六年二月二十七日上午十一時左右，專賣局接到密報人秦朝斌報告：淡水港有走私船運入火柴、捲煙五十餘箱等情事，專賣局乃派葉得根、鐘延洲、趙子健、劉超群、盛鐵夫、傅學通六名查緝員，會同警察大隊所派四名警察前往查緝。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0005,1947-02-27T04:00:00Z,1947-02-27T12:00:00+08:00,1947-02-27,12:00,True,fuzzy,抵達淡水時,中午,抵達淡水時間,北部,新北市,淡水,2,當他們抵達淡水時，僅查獲私煙五箱。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0006,1947-02-27T06:00:00Z,1947-02-27T14:00:00+08:00,1947-02-27,14:00,True,fuzzy,不久,下午,接獲第二次密報,北部,台北市,南京西路的天馬茶房,2,不久，又據密報人說：這些走私貨已移到台北市南京西路的天馬茶房（太平町，今之延平北路）附近，按此地是台北最大的私貨集中地。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0007,1947-02-27T06:00:00Z,1947-02-27T14:00:00+08:00,1947-02-27,14:00,False,fuzzy,二月二十七日,下午,台北緝私煙事件發生日,南部,台北市,台北市,378,當二月二十七日台北因緝私煙而引起事件後，翌日高雄已知悉此事。,ch02_03_1.3_1高雄市,,
E0008,1947-02-27T10:00:00Z,1947-02-27T18:00:00+08:00,1947-02-27,18:00,True,fuzzy,進晚餐,下午,就近訪查前用餐,北部,台北市,太平町附近的小香園,2,查緝人員與警察先到太平町附近的小香園進晚餐，以便就近訪查。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0009,1947-02-27T11:30:00Z,1947-02-27T19:30:00+08:00,1947-02-27,19:30,True,exact,下午七時三十分,下午,查緝私煙並擊傷林江邁,北部,台北市,天馬茶房附近,2,下午七時三十分，當他們到達現場時，私販早已逃散，僅查獲一四十歲寡婦林江邁的私煙，擬將其全部公私煙和現金加以沒收。林江邁情急，進而抱住查緝員不放。其中一查緝員一氣之下，用槍管打她的頭，致林婦的頭顱鮮血直流，身旁的女兒也驚嚇得哭起來。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0010,1947-02-27T11:40:00Z,1947-02-27T19:40:00+08:00,1947-02-27,19:40,True,fuzzy,連忙逃走,晚上,查緝員脫身開槍,北部,台北市,天馬茶房附近,3,查緝員見勢不妙，連忙逃走，但群眾卻緊追不捨。其中一查緝員傅學通為求脫身，乃開槍警告，不幸誤射當時在自宅樓下觀看熱鬧的市民陳文溪。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0011,1947-02-27T11:50:00Z,1947-02-27T19:50:00+08:00,1947-02-27,19:50,True,fuzzy,逃至派出所後,晚上,群眾包圍派出所,北部,台北市,永樂町（西寧）派出所；警察總局（中山堂旁）,3,查緝員逃至永樂町（西寧）派出所，後轉至警察總局（中山堂旁），激憤的民眾遂將查緝員的卡車玻璃搗毀，並將卡車推倒於道旁，然後包圍派出所要求交出兇手槍斃。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0012,1947-02-27T12:00:00Z,1947-02-27T20:00:00+08:00,1947-02-27,20:00,False,fuzzy,晚上,晚上,要求報社刊登新聞,北部,台北市,台灣新生報,6,部分民眾則到台灣新生報要求刊登此事，主編吳金鍊因奉有「台灣省行政長官公署宣傳委員會」不得刊登事件消息的命令，而加以拒絕。民眾威脅將以汽油燒燬報社。吳金鍊不得已，請社長李萬居出面。李氏答應刊登，民眾始離開報社。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0013,1947-02-27T12:00:00Z,1947-02-27T20:00:00+08:00,1947-02-27,20:00,True,fuzzy,二月二十七日晚上,晚上,,北部,臺北市,圓環,,首先是民國三十六年二月二十七日晚上所發生之圓環緝私事件，民眾因不滿緝私員傷人、殺人而包圍警、憲單位。,ch02_01_1.1_一二二八事件之爆發,,
E0014,1947-02-27T13:00:00Z,1947-02-27T21:00:00+08:00,1947-02-27,21:00,True,fuzzy,九時許,晚上,專賣局官員趕往處理,北部,台北市,警察總局,4,專賣局業務委員會常務委員李炯支與業務會第四組組長楊子才聞報，於九時許趕往現場處理。當時約有百餘民眾聚集，見二人卡車抵達，均趨前欲加毆打，李、楊乃轉至台北市警察局。群眾尾隨而至，並已聚集達六、七百人。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0015,1947-02-27T13:30:00Z,1947-02-27T21:30:00+08:00,1947-02-27,21:30,True,fuzzy,將查緝員送往憲兵隊,晚上,轉移嫌疑人,北部,台北市,台北市警察局；憲兵隊,4,兩人不得已，會同北市警察局局長陳松堅，將查緝員六人送往憲兵隊看管。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0016,1947-02-27T14:00:00Z,1947-02-27T22:00:00+08:00,1947-02-27,22:00,True,fuzzy,群眾得知後,晚上,群眾包圍憲兵隊,北部,台北市,憲兵隊（台灣新生報社對面）,5,群眾得知查緝員被送至憲兵隊（台灣新生報社對面）後，乃擁至包圍，要求交出兇手。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0017,1947-02-27T15:00:00Z,1947-02-27T23:00:00+08:00,1947-02-27,23:00,True,fuzzy,雨一稍停,晚上,敲鑼鼓動群眾,北部,台北市,憲兵隊前街道,5,於是，雨一稍停，鑼聲叮噹響起來，群眾又包圍憲兵隊。又有青年在街上敲鑼大叫：「台灣人趕緊出來報仇」，「不出來的不是蕃薯」，徹夜大聲叫罵。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0018,1947-02-27T16:00:00Z,1947-02-28T00:00:00+08:00,1947-02-28,00:00,True,fuzzy,次日,凌晨,受害者死亡,北部,台北市,不詳,3,不幸誤射當時在自宅樓下觀看熱鬧的市民陳文溪（年約二十歲，次日死亡）。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0019,1947-02-27T16:00:00Z,1947-02-28T00:00:00+08:00,1947-02-28,00:00,False,fuzzy,二月二十八日,,,北部,台北市,,,二月二十八日的抗爭行動很快地蔓延全島，而且原本要求懲兇的治安事件逐漸升高為政治行動，即要求台政的全面改革。這些要求造成台民，特別是地方領袖，與長官公署、國民政府間的緊張關係。,ch02_01_1.2_二台北市的衝突治安事件升高為政治行動,,
E0020,1947-02-27T16:00:00Z,1947-02-28T00:00:00+08:00,1947-02-28,00:00,False,fuzzy,二月二十八日至三月九日間,,事件期間,北部,台北市,二二八事件處理委員會,,「二二八事件處理委員會」（包括其前身「緝煙血案調查委員會」，簡稱「處委會」）在二月二十八日至三月九日間，擔負整合民意與進行政治交涉的重任，一度幾乎取代公署成為實際行政單位。,ch02_01_1.2_二台北市的衝突治安事件升高為政治行動,,
E0021,1947-02-27T16:00:00Z,1947-02-28T00:00:00+08:00,1947-02-28,00:00,False,fuzzy,二十八日,,,東部,台北市,台北,,二月二十八日在台北等地發生的衝突事件,ch02_04_1_第四節_東部地區,,
E0022,1947-02-28T00:00:00Z,1947-02-28T08:00:00+08:00,1947-02-28,08:00,True,fuzzy,次日,上午,報紙刊登事件,北部,台北市,台灣新生報,6,次日，該報即以五號字刊登百字左右之報導。,ch02_01_1.1.1_1事件之導火線圓環緝煙事件,,
E0023,1947-02-28T01:00:00Z,1947-02-28T09:00:00+08:00,1947-02-28,09:00,True,exact,二月二十八日上午九時,上午,九時,北部,台北市,台北市街道,24,二月二十八日上午九時，民眾因緝私傷害人命事件未獲解決，乃沿街打鑼，通告罷市，市民、商店立予響應，相繼關門。,ch02_01_1.1.2.1_1圍攻專賣局,,
E0024,1947-02-28T01:00:00Z,1947-02-28T09:00:00+08:00,1947-02-28,09:00,True,exact,二月二十八日上午九時,上午,九時,北部,台北市,太平町二丁目派出所,24,一批民眾遊行至太平町二丁目（今西寧路）派出所前，派出所主管黃某欲加制止。民眾因黃某平時藉勢凌人，將其圍打，並搗毀所內玻璃、物品等。,ch02_01_1.1.2.1_1圍攻專賣局,,
E0025,1947-02-28T01:00:00Z,1947-02-28T09:00:00+08:00,1947-02-28,09:00,False,fuzzy,翌（二十八）日,上午,,北部,台北市,台北市,,台北市民罷工、罷市，並示威請願。,ch02_01_1.1.2_2事件之爆發公署請願與衞兵開槍事件,,
E0026,1947-02-28T01:00:00Z,1947-02-28T09:00:00+08:00,1947-02-28,09:00,True,fuzzy,「二二八事件」發生時,上午,事件發生初期,南部,高雄市,港務局,,「二二八事件」發生時，港務局局長林則彬鑒於時勢之惡化極為迅速，乃命令時任港務組組長、高雄人的許顯耀出面維持港務局，以確保港務局的安全。,ch02_03_1.3.4_4港務局,,
E0027,1947-02-28T01:00:00Z,1947-02-28T09:00:00+08:00,1947-02-28,09:00,False,fuzzy,翌日,上午,,南部,高雄市,高雄市政府,378,翌日高雄已知悉此事，高雄市長黃仲圖即嚴囑部下鎮靜處置，避免軍民間衝突，並拋售糧食，以安定民生，減少動亂發生的誘因。,ch02_03_1.3_1高雄市,,
E0028,1947-02-28T02:00:00Z,1947-02-28T10:00:00+08:00,1947-02-28,10:00,True,fuzzy,十時許,上午,約十時,北部,台北市,專賣局台北分局,25,隨後，遊行民眾越聚越多，十時許，衝入位於本町（今重慶南路）之肇事單位專賣局台北分局，發現局內有緝煙警員。群眾以為其中之一是昨夜之兇手，乃將他與另一警員圍毆致死，又毆傷四人，並將局裡所存之火柴、煙、酒及一輛汽車與七、八輛腳踏車抛至街上焚燒，至次日仍未全熄。當時圍觀民眾達二、三千人，憲警隨即趕到，但也知難而退，不敢處理。,ch02_01_1.1.2.1_1圍攻專賣局,,
E0029,1947-02-28T03:00:00Z,1947-02-28T11:00:00+08:00,1947-02-28,11:00,True,fuzzy,二十八日上午十一時左右,上午,約11時,北部,台北市,行政長官公署,58,二十八日上午十一時左右，民眾代表五人赴公署，向參謀長柯遠芬請願，提出五項要求。,ch02_01_1.1.2.3_3抗官與省籍衝突之激化,,
E0030,1947-02-28T04:00:00Z,1947-02-28T12:00:00+08:00,1947-02-28,12:00,True,fuzzy,十二時許,中午,約十二時,北部,台北市,南門專賣局總局,26,十二時許，民眾又擁向南門專賣局總局，要求懲兇，但因憲警事先有防備，僅打破玻璃而已。,ch02_01_1.1.2.1_1圍攻專賣局,,
E0031,1947-02-28T04:00:00Z,1947-02-28T12:00:00+08:00,1947-02-28,12:00,True,fuzzy,十二時許,中午,專賣局總局請願未遂後,北部,台北市,行政長官公署,27,另有一說是：因警總參謀王民寧勸阻；又有謂守衛以機槍掃射，群眾因而未衝入總局。民眾由於向專賣局總局請願未遂，乃轉往長官公署。,ch02_01_1.1.2.1_1圍攻專賣局,,
E0032,1947-02-28T04:00:00Z,1947-02-28T12:00:00+08:00,1947-02-28,12:00,True,fuzzy,十二時許,中午,與圍攻專賣局總局約略同時,北部,台北市,任維鈞公館,28,惟又另有記載稱，民眾衝入前任專賣局局長任維鈞公館，任氏夫婦幸事前躱避，未受傷害，但家中器物則被打得粉碎。,ch02_01_1.1.2.1_1圍攻專賣局,,
E0033,1947-02-28T04:00:00Z,1947-02-28T12:00:00+08:00,1947-02-28,12:00,True,fuzzy,十二時許,中午,與圍攻專賣局總局約略同時,北部,台北市,專賣局南門工廠,29,此外，專賣局南門工廠亦被搗毀。,ch02_01_1.1.2.1_1圍攻專賣局,,
E0034,1947-02-28T04:00:00Z,1947-02-28T12:00:00+08:00,1947-02-28,12:00,False,fuzzy,二十八日,,,北部,臺北市,專賣局、行政長官公署,,其次是二十八日之長官公署開槍事件，民眾由圍攻專賣局而赴公署請願，兵士因開槍阻止而傷害人命。,ch02_01_1.1_一二二八事件之爆發,,
E0035,1947-02-28T04:00:00Z,1947-02-28T12:00:00+08:00,1947-02-28,12:00,False,fuzzy,二月二十八日,不詳,事件中,北部,台北縣,棄貓山,161,又，警總有情報稱：林清標在棄貓山集結「股匪二百七十人」，定名「台灣挺進隊」，宣傳共產主義，吸收人民參加；此組織下設三中隊，分別負責破壞台北與基隆、新竹與台中、台南與高雄等三區。在事件中，曾派區隊長王端、指導員陳永成，及隊員陳三和、郭喬木、莊炳煌、莊萬能等赴新竹煽動暴動。,ch02_01_1.3_三台北縣的衝突情形,,
E0036,1947-02-28T04:00:00Z,1947-02-28T12:00:00+08:00,1947-02-28,12:00,True,fuzzy,二二八事件發生時,不詳,事變初期,南部,屏東縣,東港區署,502,當「二二八事件」發生時，區長黃平西正好北上開會，警局人員則逃避一空，故部分原日籍台灣兵 or 軍屬呈躍躍欲試之勢。地方士紳為維護社會的安寧，並預防所謂暴徒南下，乃出面徵召本地的青年、知識分子，及服過兵役者出來組織自衛隊。這批士紳為陳江山（醫生，高雄知名律師陳金能之二哥；陳金能則死於高雄市政府）、蔡新發（醫生）、蕭永東（澎湖人，配銷會主任）、陳秋金（原任區長，陳江山之兄）、郭生章（醫生，郭國基之堂兄）、蔡永才（林邊竹仔腳的大户）、林雲騰（東港王爺廟之董事）、許白土、蔡朝取、張萬寶、洪元珍等人。,ch02_03_1.4_1東港,,
E0037,1947-02-28T05:00:00Z,1947-02-28T13:00:00+08:00,1947-02-28,13:00,True,fuzzy,下午一時許,下午,約13時左右,北部,台北市,火車站向長官公署,30,下午一時許，有一批四、五百人的群眾，以鑼鼓為前鋒，並有人喊叫、呼口號，由火車站向長官公署前進。有謂民眾因市面缺米，聽說公署有食米可領，乃一呼四應，尾隨而至，因而聲勢浩大。,ch02_01_1.1.2.2_2公署開槍事件,,
E0038,1947-02-28T05:00:00Z,1947-02-28T13:00:00+08:00,1947-02-28,13:00,True,fuzzy,下午一時左右,下午,外省籍公務員證言,北部,台北市,教育處（今監察院）,44,有一位服務於教育處（在今監察院）的外省籍公務員稱，他在下午一時左右，發現群眾聚集公署，其中有人奪走軍警的佩槍，因此軍警向空鳴槍，而現場並無人傷亡。,ch02_01_1.1.2.2_2公署開槍事件,,
E0039,1947-02-28T05:00:00Z,1947-02-28T13:00:00+08:00,1947-02-28,13:00,True,fuzzy,二十八日下午一時許,下午,死者名單,北部,台北市,公署前,45,據事後之調查，有二人在二十八日下午一時許死於公署前。據載死者一是廖竣得（住雙園區堀江町一九二號），一是吳炳煌（住永樂町三之九號）；惟吳炳煌來信稱：其與群眾前往長官公署時為機槍射中重傷，但並未死，事後離台長居美國。,ch02_01_1.1.2.2_2公署開槍事件,,
