ref_id,source_file,text
1,ch02_01,光復初期，全省分設八縣九省轄市，台北縣包括今宜蘭縣，新竹縣包括今桃園、新竹、苗栗三縣。《台灣省通志》，〈卷一土地志〉，疆域篇，冊一，台灣省文獻委員會，民五九年六月，頁七五。
2,ch02_01,《台灣新生報》，民卅六年二月廿八日，「查緝私煙肇禍，昨晚擊市民二名」；吳濁流，《無花果》，美國加州：台灣出版社，一九八四年，頁一七四；王育德，《台灣：苦悶的歷史》，東京：著者自刊，一九七九年，台北，自立晚報，頁一五七；林木順，《台灣二月革命》，一九九一，台北，前衛報，頁九～十；黃存厚輯，《「二二八」事變始末記》，台中：掃蕩報社，民卅六年，頁二；陳鳴鐘、陳興唐主編，《台灣光復和光復後五年省情》，南京：南京出版社，一九八九年；「台灣省高等法院及警備總司令部軍法處關於『二、二八』事件起因調查訊問筆錄」，民卅六年二月廿八日；台灣省警備總司令部印，《台灣省「二二八」事變記事》，台北：該部，民卅六年四月，頁七；台灣省行政長官公署新聞室編，《台灣暴動事件紀實》，台北：該室，民卅六年四月，頁二；《台灣新生報》，民卅六年三月四日；唐賢龍，《台灣事變面面觀》，南京：中國新新聞社，民卅六年六月，頁八四；戴國煇、葉芸芸，〈愛憎二二八，神話與史實：解開歷史之謎〉，台北，遠流出版公司，一九九二年，頁一九○～一九三。又，一目擊者曰：查緝員開三槍，陳文溪被射中腹部，跑至大光明戲院倒下，台北市民何國祥自述文。又曰事件發生地點是在永樂戲院對面之亭仔腳（騎樓），而非天馬茶房（黑美人酒家）之亭仔腳，見「大稻埕耆老座談會紀錄」，《台北文獻》，直99，民八一年三月，頁二四，李添福發言。
3,ch02_01,同上。又，「大稻埕耆老座談會紀錄」，《台北文獻》，直99，民八一年三月，頁一八，王雲青發言。
4,ch02_01,〈專賣局為「二、二七」夜緝私發生糾紛事呈警備總部報告全文〉，《專賣業務特刊》，頁一四～六九；翟羽，〈台變十日記〉，《台灣月刊》，第六期，民卅六年四月十日，頁三一。
5,ch02_01,王育德，頁一五八；唐賢龍，頁八六～八七；戴國煇、葉芸芸，頁一九五～一九六。
6,ch02_01,林木順，頁十。
7,ch02_01,《台灣暴動事件紀實》，頁一。
8,ch02_01,《台灣省「二二八」事變記事》，頁七。
9,ch02_01,《台灣新生報》，民卅六年二月廿八日。
10,ch02_01,唐賢龍，頁八五～八六；林木順，《台灣二月革命》，台北：前衛出版社，一九九一年，頁九～一○；王建生、陳婉真、陳湧泉，《一九四七台灣二二八革命》，台北：前衛出版社，一九九○年，頁九八～九九；林啟旭，《二二八事件綜合研究》，東京：二二八出版社，民七三年初版，七七年再版，頁三一～三二。
11,ch02_01,陳鳴鐘、陳興唐主編，頁五七五。
12,ch02_01,同上，頁五八三。
13,ch02_01,《台灣新生報》，民卅六年四月六日。
14,ch02_01,《台灣暴動事件紀實》，頁一；《台灣省「二二八」事變記事》，頁七。
15,ch02_01,《台灣暴動事件紀實》，頁一～二。
16,ch02_01,黃富三，民八十年十月三日，訪廖德雄，於廖宅；張益贍，〈廖進平、廖德雄父子於二二八〉，《自立晚報》，民八一年三月二日。
17,ch02_01,戴國煇、葉芸芸，頁一九一。
18,ch02_01,〈關於私煙私酒問題〉，《台灣新生報》，民卅五年十一月十九日，社論；楊逸舟著、張良澤譯，《受難者》，台北：前衛出版社，一九九○年，頁一○四。又據陳盤谷（陳炘之子）表示，陳儀被蒙蔽，因此，專賣局官員以專賣局煙紙包裝「三五」牌煙絲置其桌上，陳儀嚐後，大為讚賞。
19,ch02_01,〈二二八事件經過〉，《台灣新生報》，民卅六年三月四日。
20,ch02_01,林木順，頁九。
21,ch02_01,〈延平路事件感言〉，《台灣新生報》，民卅六年三月一日。
22,ch02_01,《民報》，民卅五年十二月九日。據林木順，《台灣二月革命》一書，十二月底，基隆發生緝私員打死煙販事件，見林木順，頁十。但查《民報》，十二月底並無此項報導，疑為十二月九日射傷事件之誤傳。
23,ch02_01,林木順，頁十；林啟旭，頁三二。
