ref_id,source_file,text
1,b001,甚至在歷史學者所用的用語，竟然出現「綏靖」、「清鄉」，此種給予二二八事件當時統治者合理化的用詞，至為不妥。
1,ch02,鄭梓，《戰後臺灣的接收與重建》（臺北：新化圖書公司，1994年3月），頁135-136。
1,ch03,黃秋芳，《鍾肇政的臺灣塑像》（臺北：時報文化出版公司，2000年），頁150-151。
1,ch04,陳文瑛，〈陳儀早期經歷〉，收入李敖編著《二二八研究三集》（臺北：李敖出版社，1989年2月），頁2-4。
1,ch05,司法行政部調查局，1952《地方派系調查報告》手稿本。
2,b001,對於大屠殺的行為，全世界都會認真地討論，但是在臺灣，卻因為歷史的環境因素使然，以致在這數十年來雖有政治的改變，而並沒有做大屠殺行為責任的討論。這是發生在1947年的事情，直至目前，經過三個階段，即自1949年到1987年，共38年，為第一階段，即戒嚴時期；然後自1987至2000年，李登輝執政時代，有12年的時間，為第二階段；到了2000年以後到目前，又過了5年的時間，為第三個階段。綜合以上三個階段所經過的時間，加起來一共經過了58年的時間。其實我們老早在1987年起就可以處理責任問題，但是卻都沒有處理。我們目前在關注上，探討的部分只有在探討最主要的是2樁問題，也就是歷史方面與法律方面的問題，而這2種都是判斷「是非」的問題。但令人感到惋惜的是，雖然在歷史方面的問題是有在做處理，但是法律方面的問題卻是沒有在做處理。為什麼法律方面的問題卻沒在處理，對此，應該感到很抱歉，我們是讀法律的人，在臺灣讀法律的人，尤其是身在法律的實務界，卻在基本觀念上，受到舊觀念影響，也就是陳儀深教授所提到的受到當時國民黨的教育，以及受到法官訓練所的「訓練」教育之下，變成了在人權維護上表現無效能之人。所以，在此討論，為什麼對這些事情會變成為不能討論？為什麼連提到這件事情的文章也不可以。譬如說，筆者曾經寫有關這二二八事件的文章去投稿，但對方竟然說這會「引起不必要的聯想」，基於此考慮而不能引發刑事實務界的注意。
2,ch02,行政院研究「二二八事件」小組，《「二二八事件」研究報告》（臺北：時報文化出版公司，1997年6月），頁3。
2,ch03,詳見楊家宜編製，〈「二二八」的官方說法〉，《中國論壇》月刊號第4期（31卷第5期，1991年2月1日），頁45-56。
2,ch04,葛敬恩，〈大革命時期的陳儀〉，收入李敖編著《二二八研究三集》，頁8-10。
2,ch05,卜少夫，《臺灣風雲人物》（香港：新聞天地社，1962年7月），頁194。
3,b001,筆者曾撰寫二二八元凶責任，而投稿某國內著名的法學雜誌，但其竟以「為避免引起不必要聯想」之此一理由而予以長期擱置刊登。
3,ch02,張瑞成編輯，《光復臺灣之籌劃與受降接收》（臺北：中國國民黨黨史委員會，中國現代史史料叢編第四集，1990年6月），頁3。
3,ch03,葉芸芸，〈風流雲散悲今日：記戰後初期的左翼人士〉，《中國論壇》月刊號第4期（31卷第5期，1991年2月1日），頁33-36；古瑞雲（周明），《臺中的風雷》（臺北：人間出版社，1990年），頁50。
3,ch04,錢履周，〈陳儀主閩事略〉，收入李敖編著《二二八研究三集》，頁42-45。
3,ch05,李筱峰，《臺灣戰後初期的民意代表》（臺北：自立晚報社，1986年），頁148。
4,b001,相關的法律論文似仍有待強調與重視。
4,ch02,同前註，頁150。
4,ch03,〈金燮佳上言普誠代電呈報二二八事件經過概況及其對事件的觀察認知（民國36年4月7日批）〉，侯坤宏、許進發編，《二二八事件檔案彙編（二）》（臺北：國史館，2002年），頁179-184。
4,ch04,〈陳儀與招商局總經理徐學禹來往電文〉，收入陳興唐主編《臺灣二．二八事件檔案史料（上卷）》，（臺北：人間出版社，1992年），頁163-167。
4,ch05,J.B.Jacobs原著，陳俐甫、夏榮和譯，〈臺灣人與中國國民黨─臺灣「半山人」的起源〉，載《臺灣風物》40卷2期（臺北，1990年6月）。
5,b001,這或許和早期的法律教育將法律當成是「統治者的工具」的觀念有關，既然統治者認為是對的，則工具（即法律）也不能認為是不對的。
5,ch02,《國民政府公報》，1945年9月21日，頁1-2。
5,ch03,例如戴國煇，一方面運用豐富資料敘述二二八事件中民眾遭受諸般「恐怖黑暗」的屠殺，一方面歸因於日治時期臺灣人「甚少有過為自己的自主權和自己的尊嚴向日帝真正鬥爭過」，臺籍菁英「沒有足夠充實的學力」、「不曾有就中國的社會、經濟、政治作出本質性的思考」。見氏著，《愛憎二二八》（臺北：遠流出版公司，1992年），頁28-30。戴國煇的意思似乎是：由於日治時期臺灣人抗日不力，臺籍菁英學歷不足、不夠瞭解中國，所以1947年遭受屠殺是罪有應得？
5,ch04,錢履周，〈陳儀主閩事略〉，頁50-51。
5,ch05,陳翠蓮，《派系鬥爭與權謀政治》（臺北：時報文化出版公司，1995年），頁235。
6,b001,參考陳志龍：《人性尊嚴與刑法體系入門》，（1998），頁657。
6,ch02,第一屆立法院編印，《中華民國法律彙編》第四冊（臺北：立法院，1978年8月），第玖類〈地方制度〉，頁1-6。
6,ch03,中研院院士黃彰健，在高雄市參加一場「重探二二八」論壇時，發表一篇二十多萬字的報告〈彭孟緝與高雄事件真相〉，即持此觀點。參見《聯合報》2004年2月3日A13版，記者包喬晉報導。駁論文字見陳儀深〈二二八事件的責任歸屬問題—兼論彭孟緝「出兵平亂」之不正當〉，收入氏著《為臺灣辯護》（臺北：臺灣北社出版，2004年7月），頁58-62。
6,ch04,錢履周，〈陳儀主閩事略〉，頁55-56。關於陳儀治閩功過可參考賴澤涵，〈陳儀與閩、臺、浙三省省政（1926-1949）〉（臺北：中華國建國八十年學術研討會，1991年8月）。賴澤涵，〈陳儀在閩、臺的施政措施〉，《中國論壇》31：5（1991年2月），頁27-32。戴國暉，《愛憎二二八》（臺北：遠流出版公司，1992年2月），頁61-104。
6,ch05,"Kerr, George H.Formosa Betrayed.Boston: （1965） Houghton Mifflin.。"
7,b001,法律條文是統治者制定的，它是「人為的」，是違反「事物本質」的，但是對扈從的法律人是不必辨明法律的本質，因為只要重視「形式」就可以，何必還要去關心「實質的」、「人權的」其他、「非形式」，而屬於實質的事項。
7,ch02,張瑞成編輯，《光復臺灣之籌劃與受降接收》，頁150。
7,ch03,這是中研院研究員朱浤源在同一場「論壇」中的發言，他甚至質疑這673人的死亡數字亦有灌水之嫌。同上註，並見頁63-34。
7,ch04,錢履周，〈陳儀主閩事略〉，頁54。
7,ch05,葉榮鐘，《臺灣人物群像》（臺北：時報文化出版公司，1995年），頁419。
8,b001,參考陳志龍：《法益與刑事立法》，（1997），頁101以下，頁156以下，對於政治與刑事司法之不可分，乃是欠缺保護客體的具體標準。
8,ch02,第一屆立法院編印，《中華民國法律彙編》第四冊，第玖類〈地方制度〉，頁1-6。
8,ch03,參見柯喬治（George Kerr）著，陳榮成譯，《被出賣的臺灣》（臺北：前衛出版社，1991年根據1973年譯本出版），頁211-228。
8,ch04,余鐘民，〈陳儀槍殺張超的前前後後〉，收入李敖編著《二二八研究三集》，頁57-72。
8,ch05,橋生，〈林茂生先生的一生─與林宗義教授共懷念〉，手稿﹔或參林宗義口述，胡慧玲記錄，〈我的父親〉，載胡慧玲《島嶼愛戀》（臺北：玉山社，1995年）。
9,b001,職此之故，在臺灣現狀對於「好法官」的判定標準，並不是以該法官的裁判表現出獨特的、前瞻的精神思想層次的工作，即積極的條件為準；而是以「不貪瀆」、「守法紀」等消極條件為據。
9,ch02,同前註。
9,ch03,蔣永敬等合著，《楊亮功先生年譜》（臺北：聯經出版公司，1988年），頁389。另據一份情治人員報告，高雄要塞司令部計擊斃「匪」五、六百人以後，高雄市才漸平復。〈朱元鎮上盛先生代電續報高雄暴動經過〉，侯坤宏、許進發編，《二二八事件檔案彙編（二）》，頁30。
9,ch04,余鐘民，〈陳儀槍殺張超的前前後後〉，頁60。胡允恭，〈地下十五年與陳儀〉，《傳記文學》60：6（1992年6月），頁61。
9,ch05,《臺灣先鋒》復刊第一期（中國金華，1940年4月15日）；或參王曉波，〈日據時期的臺灣抗日運動與獨立運動〉，載《世界新聞傳播學院學報》第三期（臺北，1993年10月）。
10,b001,詳參見陳志龍：〈刑事訴訟法的過去與未來〉，《全國律師雜誌》創刊號，（1997），頁24-54。
10,ch02,連震東，〈臺灣人的政治理想和對做官的觀念〉，收錄於中國國民黨中央委員會黨史委員會，《抗戰時期收復臺灣之重要言論》（臺北：中國國民黨黨史委員會，中國現代史史料叢編第三集，1990年6月），頁327-328。另外，有關陳儀集行政、立法、司法大權於一身，其主持臺政讓臺灣人產生「總督制度」復活的錯覺乙事，王泰升認為1945年10月25日以後，臺灣即由國民黨政權依中國的訓政體制統治。在當時的訓政體制之下，「黨」與「政府」的權力已被匯整至國防最高委員會。尤其是身為國防最高委員會之委員長的蔣介石，既是黨的總裁，又擔任國民政府主席兼陸海空軍總司令、軍事委員會委員長，以致該委員會的運作，實際上等於是「委員長獨任制」。可以說集中國黨政軍大權於一身的蔣介石，已成為1945年以後臺灣的「新天皇」，其實質權力有甚於「舊天皇」。見王泰升，〈臺灣戰後初期的政權轉替與法律體系的承接（1945至1949）〉，國立臺灣大學法律學系主編，《國立臺灣大學法學論叢》第29卷第1期（2000年1月），頁8-11。
10,ch03,這是2005年1月18日之最新統計數據，詳見：http://www.228.org.tw/031.htm。
10,ch04,高塏，〈陳儀與福建省人事制度〉，收入李敖編著《二二八研究三集》，頁110。
10,ch05,李友邦，〈臺胞毋忘祖國〉，王曉波編《臺胞抗日文獻選編》（臺北：帕米爾書店，1985年7月）。
11,b001,請參閱陳志龍：〈自由權的理論〉，總統府國家人權紀念館籌備小組，文建會主辦：《人權與文化公民權研討會》所發表論文（2004）。
11,ch02,閩臺通訊社編，《臺灣政治現狀報告書》（1947），收錄於佚名編，《二二八真相》（無著作者及出版年代），頁25-26。
11,ch03,從既有的檔案與口述史料可以得到此一印象，但實不應誇大渲染—如李敖所說：「一開始時，臺灣人殺外省人，殺了十天，外省人大概死了八百多人。然後3月10日，外省的部隊開上來，又開始殺臺灣人，現在查出來的大概也是八百多臺灣人被殺掉了。大概是你殺我八百，我殺你八百。」引自鳳凰寬頻〈1月5日李敖有話說　陳儀將軍之死〉，http://big5.phoenixtv.com:82/gate/big5/www.phoenixtv.com/phoenixtv/74311601464803328/20050106/481314.shtml。其實3月6日高雄的彭孟緝就開始殺人了，不必等到3月10日，尤其要以死亡數字來定是非是很冒險的，不知聰明的李敖為何會出此下策？
11,ch04,陳嘉庚，《南僑回憶錄（下）》（臺北：陳嘉庚國際學會，1993年7月），頁392-393。
11,ch05,謝南光，〈臺灣的民族運動〉，載臺灣革命同盟會主編，《臺灣問題言論集》第一集（中國重慶：國際問題研究所出版，1943年9月）。
12,b001,參閱本書第3章第1節。第一項劉文島的閩臺清查團的「政治檢討」（頁107以下）。
12,ch02,楊亮功、何漢文，〈調查「二二八」事件報告〉，中央研究院近代史研究所主編，《二二八事件資料選輯（二）》（臺北：中央研究院近代史研究所，1992年5月），頁320-321。
12,ch03,詳見陳儀深，〈論臺灣二二八事件的原因〉，收入張炎憲等主編，《臺灣史論文精選》（臺北：玉山社，1996年）頁303-349。
12,ch04,蔣授謙，〈陳儀、孔祥熙衝突的因果〉，收入李敖編著《二二八研究三集》，頁119-124。
12,ch05,宋斐如，〈臺灣農民的慘痛〉，《臺灣問題言論集》第一集，頁58-61。
13,b001,其實臺灣目前仍充斥著未與世界人權理念接軌的保守觀念，誠如張炎憲所述：「民主化之後的臺灣，在虛幻的民主假象中，在空洞的寬容和解與族群和諧的大義名份下，不敢去碰觸228的歷史真相和責任歸屬的核心問題。」，參考本書前言。
13,ch02,周一鶚，〈陳儀在臺灣〉，《陳儀生平及被害內幕》（中國北京：中國文史出版社，1987年6月），頁108-110。
13,ch03,莊永明，《韓石泉醫師的生命故事》（臺北：遠流出版公司，2005年），頁321。
13,ch04,〈中央設計局臺灣調查委員會一年來工作大事記〉，收入張瑞成編《光復臺灣之籌劃與受降接收》（臺北：中國國民黨黨史會，1990年6月），頁44-47。
13,ch05,呂芳上，〈臺灣革命同盟會與臺灣光復運動〉，《中國現代史專題研究報告》第三輯（臺北：中華民國史料研究中心，1973年9月），頁255-288。
14,b001,參閱本書第3章，頁151以下（註102-108）。
14,ch02,陳明通，〈派系政治與陳儀治臺論〉，賴澤涵主編，《臺灣光復初期歷史》（臺北：中央研究院中山人文社會科學研究所專書（31），1993年11月），頁257-270。
14,ch03,救恤辦法九條的內容，以及各地實施救恤的實際情形，詳見行政院研究二二八事件小組，《二二八事件研究報告》（臺北：時報文化出版公司，1994年），頁370-399。
14,ch04,臺灣省文獻委員會編，《臺灣省通志卷十光復志》（南投：臺灣省文獻委員會，1970年6月），頁16-17。
14,ch05,〈臺灣革命同盟會第二屆宣言〉，《臺灣問題言論集》第一集，頁104-106。
15,b001,依德國漢堡大學政治學研究所的研究報告提到，針對1945年以後的戰爭與武裝衝突—亞洲部份（Kriege und bewaffnete Konflikte seit 1945），只有提到1946-1950國共戰爭；1954-1955中華人民共和國與臺灣的第一次金門危機；1958中華人民共和國與臺灣的第二次金門危機。而並未提及1947年的二二八事件係屬於戰爭行為。參閱：Vgl.www.sozialwiss.uni-hamburg.de/publish/lpw/ Akuf/kriege-archiv.htm 以及圖表二。
15,ch02,李筱峰，《解讀二二八》（臺北：玉山社，1998年1月），頁36。
15,ch03,陳儀深，〈豈止是「維持治安」而已—論蔣介石與臺省軍政首長對二二八事件的處置〉，收入李旺臺總編輯，《二二八事件新史料學術論文集》（臺北：財團法人二二八事件紀念基金會，2003年12月25日），頁144-161。
15,ch04,賴澤涵、馬若孟、魏萼著，羅珞珈譯，《悲劇性的開端—臺灣二二八事變》（臺北：時報文化出版公司，1993年3月），頁113。
15,ch05,〈為馬關條約四十八週年紀念宣言〉，《臺灣問題言論集》第一集，頁108-110。
16,b001,請參閱本書第2章（頁59及註92以下）。
16,ch02,韓石泉，《六十回憶》（臺南：著者自印，1956年11月），頁68。
16,ch03,孫文，〈孫文學說〉第六章，《國父全集》第一冊（臺北：中國國民黨中央黨史會，1973年6月），頁470。
16,ch04,戴國煇著，魏廷朝譯，《臺灣總體相：人間、歷史、心性》（臺北：遠流出版公司，1989年8月），頁102-103。
16,ch05,謝東閔，〈國際託治與臺灣〉，《臺灣民聲報》第3期（中國重慶，1945年5月16日）。
17,b001,參考本書第2章，提及臺北地區民眾的示威抗議遊行，而引發官方武力鎮壓，引爆本省籍群眾「打阿山」之混亂場面（即頁50，註68）。
17,ch02,行政院研究「二二八事件」小組，《「二二八事件」研究報告》，頁14。
17,ch03,〈南京國民政府宣言〉，彭明主編，《中國現代史資料選輯》第三冊，1927∼1937（中國北京：中國人民大學出版社，1988年），頁39。
17,ch04,臺灣省接收委員會日產處理委員會，《臺灣省接收委員會日產處理委員會結束總報告》（臺北：臺灣省日產處理委員會，1947年6月），頁19。
17,ch05,見李雲漢，《國民革命與臺灣光復運動》，頁124。
18,b001,在刑法總則的修正中，有關於「追訴權時效」的修改，法務部版本並未將對二二八事件元凶追訴的時效修改，列為其重點，足見法務部檢察司的基本心態，其認為仍與「人權」、「生命權保障」有所差距。
18,ch02,《民報》，1946年7月6日。
18,ch03,陳之邁，《政治學》（臺北：正中書局，1970年三版），頁125。
18,ch04,沈雲龍，〈初到臺灣〉，《傳記文學》51：6（1987年12月），頁66。沈雲龍，〈陳儀其人與二二八事變〉，《傳記文學》54：2（1989年2月），頁58。
18,ch05,李萬居，〈確立臺灣的法律地位〉《臺灣民聲報》第4期（中國重慶，1945年6月1日）。
19,b001,參照刑法第134條：「公務員假借職務上之權力、機會或方法，以故意犯本章以外各罪者，加重其刑至2分之1。」
19,ch02,臺灣省參議會秘書室，《臺灣省參議會第一屆第一次大會特輯》（臺北：臺灣省參議會秘書室，1946年12月），頁65。
19,ch03,中政會或國防最高委員會實為「五院匯集之總樞紐」，可對五院下命令；1943年又經改制，五院院長對國府主席負責，集權趨勢愈為明顯。陳之邁，《中國政府》（中國上海：上海書店，出版時不詳），頁161。
19,ch04,吳濁流，《無花果》（臺北：前衛出版社，1988年8月），頁160。
19,ch05,李友邦，〈收復臺灣與遠東和平〉《臺灣問題言論集》第一集，頁54-57。
20,b001,請參閱陳志龍：《法益與刑事立法》，（1997），頁30以下。
20,ch02,《民報》，1946年1月31日。
20,ch03,陳茹玄，《中國憲法史》（臺北：文海出版社，1985年），頁289-292。
20,ch04,李翼中，〈帽簷述事〉，收入中央研究院近代史研究所編《二二八事件資料選輯（二）》（臺北：中央研究院近代史研究所，1992年），頁401。
20,ch05,李萬居，〈確立臺灣的法律地位〉《臺灣民聲報》第4期。
21,b001,當時軍人動輒訴以暴力，這也可能是引起1947年2月28日的二二八事件之導火線，參見賴進祥：《傳染病與二二八》（2005），頁3以下：「慘案發生的前幾天，臺灣東部臨海道路則發生⋯⋯國軍36名，將民營的汽車扣留，擬把已經買票坐在車上的旅客趕下，好讓他們來坐，可是臺灣向來沒有這麼蠻不講理的軍隊，因此司機當場拒絕。這麼一來，國軍就動用武力，將司機毒打一頓，乘客們目睹慘狀，乃相率自動退下，讓軍人坐上。司機悲憤填胸，直將汽車從千尺高的斷崖上開入海裡，同歸於盡。此一消息立刻傳遍全臺，人心沸騰，民眾到處準備開追悼會，這則是二二八慘劇官逼民反的前奏曲。」
21,ch02,臺灣省參議會秘書室，《臺灣省參議會第一屆第一次大會特輯》，頁48。
21,ch03,〈國民黨中執會秘書處為抄送「臺灣現狀報告書」致行政院函及各部復核情形〉，收入陳興唐主編，《臺灣「二．二八」事件檔案史料（上）》（臺北：人間出版社，1992年），頁49-60。
21,ch04,葛敬恩，〈接收臺灣紀略〉，收入李敖編著《二二八研究三集》，頁168。
21,ch05,謝南光，〈制定臺灣省憲〉，《臺灣民聲報》創刊號（中國重慶，1945年4月16日）。
